Product ID,Date,Store ID,Sales Quantity,Price,Promotions,Seasonality Factors,External Factors,Demand Trend,Customer Segments
4277,2024-01-03,48,330,24.38,No,Festival,Competitor Pricing,Increasing,Regular
5540,2024-04-29,10,334,74.98,Yes,Holiday,Weather,Stable,Premium
5406,2024-01-11,67,429,24.83,Yes,Holiday,Economic Indicator,Decreasing,Premium
5617,2024-04-04,17,298,13.41,No,None,Economic Indicator,Stable,Regular
3480,2024-12-14,33,344,94.96,Yes,Festival,Weather,Increasing,Regular
7315,2024-11-25,9,336,59.54,Yes,Festival,None,Stable,Premium
2902,2024-11-13,58,475,35.61,No,None,None,Increasing,Budget
6892,2024-01-04,19,491,55.03,Yes,Festival,None,Stable,Regular
4497,2024-10-25,33,388,33.53,No,None,Economic Indicator,Increasing,Premium
8079,2024-10-22,26,475,83.65,No,Holiday,None,Decreasing,Budget
3900,2024-05-13,36,434,31.01,Yes,None,Economic Indicator,Increasing,Regular
6894,2024-04-01,78,29,27.17,Yes,Festival,Economic Indicator,Increasing,Budget
7767,2024-07-06,44,397,15.8,Yes,Festival,Competitor Pricing,Stable,Budget
9582,2024-06-30,67,71,79.15,No,Holiday,Weather,Decreasing,Regular
9817,2024-05-10,2,467,52.82,Yes,Holiday,Weather,Increasing,Budget
3845,2024-02-27,79,299,65.58,No,Holiday,Competitor Pricing,Stable,Regular
1206,2024-03-09,82,322,36.76,No,Holiday,Competitor Pricing,Increasing,Premium
6606,2024-05-06,87,95,92.94,Yes,Festival,Weather,Decreasing,Premium
2197,2024-12-24,59,438,84.65,No,Festival,Competitor Pricing,Stable,Budget
5705,2024-08-16,80,416,15.72,No,None,Weather,Increasing,Budget
4540,2024-08-12,78,494,86.78,Yes,Holiday,Competitor Pricing,Decreasing,Regular
4784,2024-11-25,51,498,80.55,No,None,Weather,Stable,Premium
3265,2024-01-03,12,158,31.6,Yes,None,Weather,Increasing,Budget
4085,2024-12-28,85,494,34.55,No,None,Competitor Pricing,Decreasing,Regular
6410,2024-12-24,27,381,81.72,Yes,None,Competitor Pricing,Stable,Budget
4740,2024-07-28,21,67,34.78,No,Holiday,Competitor Pricing,Stable,Budget
9964,2024-12-09,96,252,65.22,Yes,Festival,None,Increasing,Premium
2288,2024-11-29,17,140,39.79,Yes,Festival,Economic Indicator,Increasing,Regular
5324,2024-05-18,47,71,66.76,No,None,Weather,Decreasing,Budget
6592,2024-08-23,28,378,98.12,No,Holiday,Competitor Pricing,Stable,Regular
5840,2024-06-26,91,307,25.74,No,Holiday,Economic Indicator,Increasing,Budget
8498,2024-01-22,59,273,19.82,No,None,Economic Indicator,Stable,Regular
2338,2024-07-31,90,230,46.38,Yes,None,Competitor Pricing,Stable,Premium
8532,2024-09-01,72,2,93.36,No,Holiday,None,Stable,Regular
9185,2024-03-01,51,333,79.44,No,Holiday,Weather,Increasing,Regular
5691,2024-05-10,62,352,50.95,No,Festival,Competitor Pricing,Decreasing,Regular
6335,2024-03-17,70,158,58.89,Yes,None,None,Decreasing,Premium
1355,2024-03-01,59,46,51.9,Yes,Festival,Economic Indicator,Stable,Budget
9700,2024-05-18,49,228,91.0,No,Festival,None,Increasing,Budget
4783,2024-02-26,50,215,86.17,No,Festival,None,Decreasing,Regular
8997,2024-05-31,23,437,25.26,No,None,Competitor Pricing,Decreasing,Budget
6985,2024-08-27,78,455,7.55,Yes,Festival,Competitor Pricing,Decreasing,Regular
9816,2024-02-25,92,225,58.8,No,None,Economic Indicator,Increasing,Regular
6739,2024-06-14,5,317,12.65,No,Holiday,Competitor Pricing,Increasing,Premium
3824,2024-04-27,7,305,18.38,No,Holiday,None,Stable,Budget
5747,2024-04-06,98,234,6.04,No,Holiday,None,Decreasing,Premium
9141,2024-02-02,29,84,37.49,Yes,Festival,None,Increasing,Premium
9801,2024-03-23,21,369,11.71,No,Holiday,Economic Indicator,Decreasing,Regular
7579,2024-01-06,37,353,48.0,No,Festival,Competitor Pricing,Increasing,Regular
1282,2024-11-17,8,80,48.4,Yes,Festival,None,Decreasing,Premium
2214,2024-05-06,36,444,16.43,Yes,Holiday,Competitor Pricing,Increasing,Premium
1675,2024-11-01,23,203,13.52,No,None,Economic Indicator,Decreasing,Budget
6460,2024-02-13,16,29,5.09,Yes,Festival,None,Stable,Premium
7144,2024-12-12,64,102,17.46,No,Holiday,None,Decreasing,Premium
9868,2024-11-29,73,357,81.66,No,None,Competitor Pricing,Stable,Regular
9222,2024-08-18,4,477,26.71,No,None,Competitor Pricing,Decreasing,Premium
8158,2024-10-15,97,441,96.2,No,Holiday,Competitor Pricing,Decreasing,Regular
8688,2024-01-06,58,163,84.72,No,Holiday,None,Stable,Regular
2230,2024-09-05,49,233,40.71,Yes,Holiday,Competitor Pricing,Increasing,Regular
9394,2024-10-29,85,240,26.78,No,Festival,Weather,Increasing,Regular
2100,2024-11-30,14,348,25.31,Yes,Holiday,Weather,Stable,Budget
2997,2024-11-07,4,343,12.33,No,None,None,Stable,Regular
4770,2024-12-03,12,253,45.64,No,None,Competitor Pricing,Decreasing,Regular
6545,2024-04-25,21,352,66.21,No,Festival,Competitor Pricing,Stable,Regular
6112,2024-11-15,1,143,53.25,No,Holiday,None,Increasing,Budget
8589,2024-12-08,16,467,31.85,Yes,Festival,None,Increasing,Premium
8758,2024-07-25,26,119,5.43,No,None,Economic Indicator,Increasing,Premium
1760,2024-11-19,72,92,80.32,No,Holiday,Weather,Stable,Regular
1320,2024-10-01,25,187,48.7,No,Holiday,Competitor Pricing,Increasing,Premium
6547,2024-05-08,65,259,55.78,Yes,Festival,None,Stable,Budget
1105,2024-08-18,6,5,53.12,Yes,Festival,Economic Indicator,Decreasing,Premium
6040,2024-10-27,3,477,51.77,Yes,Holiday,Competitor Pricing,Increasing,Regular
5036,2024-04-17,30,336,54.11,No,Festival,None,Increasing,Budget
3434,2024-01-09,30,483,80.07,Yes,Festival,Competitor Pricing,Stable,Budget
6711,2024-04-30,30,191,87.12,No,Holiday,None,Stable,Regular
4183,2024-03-26,41,314,61.91,Yes,None,None,Decreasing,Premium
2355,2024-03-10,70,371,37.69,No,None,None,Increasing,Premium
8505,2024-06-24,97,92,50.79,No,Holiday,None,Decreasing,Premium
4416,2024-07-20,11,452,22.44,No,Festival,Competitor Pricing,Increasing,Regular
1610,2024-04-17,21,115,71.72,Yes,None,None,Increasing,Budget
3220,2024-10-09,33,395,21.04,Yes,Festival,Economic Indicator,Decreasing,Premium
3598,2024-06-20,92,2,64.99,Yes,Holiday,Economic Indicator,Decreasing,Regular
6585,2024-02-03,58,61,53.47,No,None,None,Increasing,Regular
2063,2024-06-01,26,65,9.51,Yes,Holiday,Weather,Increasing,Budget
8166,2024-07-21,39,154,99.9,No,Holiday,Weather,Stable,Regular
8869,2024-11-09,43,375,99.77,Yes,None,Competitor Pricing,Stable,Premium
3837,2024-02-06,22,314,53.24,Yes,Festival,None,Increasing,Budget
6295,2024-01-15,46,232,12.37,Yes,Holiday,None,Decreasing,Regular
6975,2024-01-15,72,399,99.71,No,Festival,None,Decreasing,Regular
6352,2024-11-23,10,47,47.51,No,Holiday,Economic Indicator,Decreasing,Budget
6054,2024-06-27,49,103,47.81,Yes,Festival,Weather,Increasing,Budget
6039,2024-04-28,77,433,60.32,No,None,Competitor Pricing,Stable,Regular
5877,2024-02-01,49,59,28.75,Yes,None,Economic Indicator,Increasing,Regular
2226,2024-05-01,14,314,61.84,Yes,Holiday,Economic Indicator,Stable,Regular
3547,2024-04-12,30,24,11.63,No,Festival,Weather,Stable,Regular
5706,2024-01-27,18,284,17.78,Yes,Holiday,Economic Indicator,Stable,Regular
9139,2024-12-07,55,123,74.17,No,Holiday,Competitor Pricing,Stable,Premium
6000,2024-05-29,84,17,45.58,No,Holiday,Economic Indicator,Stable,Budget
3922,2024-01-19,78,116,19.76,Yes,Festival,Competitor Pricing,Increasing,Regular
2497,2024-12-18,93,260,28.44,No,None,Weather,Stable,Regular
3166,2024-11-03,43,169,83.87,Yes,Holiday,None,Increasing,Budget
4980,2024-04-23,50,190,27.8,Yes,Festival,Competitor Pricing,Increasing,Regular
1349,2024-07-02,36,93,47.31,Yes,None,None,Increasing,Budget
5085,2024-06-11,92,456,14.66,Yes,Holiday,Weather,Decreasing,Premium
4467,2024-08-04,14,389,39.67,Yes,Holiday,Competitor Pricing,Decreasing,Regular
8369,2024-11-06,90,364,53.85,No,Festival,Weather,Decreasing,Regular
3534,2024-12-28,72,399,66.83,No,None,Competitor Pricing,Decreasing,Budget
8035,2024-10-08,24,230,5.4,No,Holiday,Weather,Decreasing,Budget
3698,2024-02-05,31,454,75.56,Yes,Festival,None,Increasing,Premium
9641,2024-10-13,11,35,61.07,Yes,Festival,Weather,Increasing,Premium
4986,2024-11-20,22,255,69.69,No,Holiday,Weather,Stable,Premium
6598,2024-03-08,97,388,78.17,Yes,None,Economic Indicator,Stable,Regular
2001,2024-02-18,92,391,14.12,No,Holiday,Weather,Decreasing,Regular
5810,2024-03-05,78,321,11.33,Yes,None,Economic Indicator,Increasing,Regular
6898,2024-07-09,5,177,22.81,Yes,None,Economic Indicator,Stable,Premium
1395,2024-12-11,9,342,23.41,No,Holiday,Competitor Pricing,Decreasing,Regular
3386,2024-06-29,39,38,5.3,Yes,None,None,Increasing,Budget
1912,2024-07-09,97,147,89.24,Yes,Festival,None,Decreasing,Premium
4630,2024-06-11,96,142,83.42,Yes,None,Weather,Stable,Budget
7059,2024-08-20,5,481,50.91,Yes,Holiday,Economic Indicator,Stable,Budget
4834,2024-05-25,40,333,79.6,Yes,Festival,None,Decreasing,Regular
7099,2024-12-05,19,444,91.55,No,None,None,Decreasing,Budget
1879,2024-08-27,19,135,34.24,No,None,Competitor Pricing,Decreasing,Budget
3015,2024-03-07,90,174,48.86,No,Holiday,Economic Indicator,Stable,Regular
7383,2024-03-24,2,382,6.57,No,None,Economic Indicator,Increasing,Regular
3462,2024-01-24,27,93,72.78,Yes,None,Competitor Pricing,Stable,Budget
8413,2024-11-24,17,165,23.76,No,Holiday,Weather,Decreasing,Premium
2296,2024-04-16,14,87,53.68,Yes,Holiday,Economic Indicator,Decreasing,Regular
6947,2024-12-27,78,480,21.1,No,Festival,Economic Indicator,Increasing,Premium
1835,2024-03-19,78,346,7.77,Yes,Holiday,Economic Indicator,Increasing,Regular
5021,2024-07-12,16,375,44.82,Yes,Festival,Economic Indicator,Increasing,Budget
7323,2024-06-03,67,348,24.62,No,Holiday,None,Decreasing,Premium
4762,2024-07-02,81,47,99.58,No,Holiday,Weather,Decreasing,Budget
1155,2024-10-18,3,12,57.93,Yes,None,Competitor Pricing,Decreasing,Budget
6215,2024-07-02,10,480,68.93,Yes,Festival,None,Increasing,Regular
4711,2024-11-24,27,164,78.3,No,None,Competitor Pricing,Increasing,Regular
1087,2024-07-24,50,360,21.0,Yes,Festival,None,Increasing,Regular
7520,2024-01-22,77,357,87.55,No,Festival,Economic Indicator,Decreasing,Regular
2004,2024-01-24,72,308,56.15,No,Holiday,None,Stable,Budget
9970,2024-12-09,19,370,75.01,Yes,Festival,Weather,Stable,Premium
2964,2024-07-14,82,24,78.71,Yes,Holiday,Economic Indicator,Stable,Premium
2222,2024-03-08,88,421,87.93,Yes,Festival,Competitor Pricing,Stable,Regular
1657,2024-09-15,19,283,7.67,Yes,Holiday,Economic Indicator,Stable,Premium
8799,2024-03-10,81,255,67.83,Yes,Holiday,Weather,Decreasing,Regular
1411,2024-05-08,73,30,31.16,Yes,Festival,Competitor Pricing,Decreasing,Regular
1486,2024-03-29,69,418,6.34,No,Holiday,Economic Indicator,Decreasing,Premium
6139,2024-09-21,13,319,97.02,No,Festival,Weather,Increasing,Budget
3151,2024-08-27,67,149,48.8,Yes,None,Economic Indicator,Decreasing,Budget
9109,2024-10-12,93,101,41.31,No,Festival,Weather,Increasing,Premium
7227,2024-10-26,48,250,43.43,No,Festival,None,Decreasing,Premium
9208,2024-10-09,80,110,21.46,No,None,Weather,Stable,Premium
4667,2024-07-28,43,340,89.71,No,Festival,Weather,Increasing,Regular
7391,2024-02-16,26,273,66.88,No,Festival,Competitor Pricing,Increasing,Budget
3247,2024-11-27,67,254,48.35,No,Festival,Economic Indicator,Increasing,Premium
2899,2024-12-30,16,130,13.95,Yes,Festival,Competitor Pricing,Decreasing,Premium
4236,2024-09-27,67,221,62.32,No,Holiday,None,Decreasing,Regular
5746,2024-03-18,59,48,96.23,No,None,Competitor Pricing,Increasing,Regular
3269,2024-10-23,81,429,16.61,Yes,Festival,Competitor Pricing,Stable,Regular
7082,2024-12-29,36,102,60.72,No,Holiday,Competitor Pricing,Stable,Premium
4534,2024-12-10,64,124,56.8,No,Holiday,Weather,Decreasing,Regular
4714,2024-09-17,31,103,83.53,No,Holiday,Competitor Pricing,Stable,Regular
9538,2024-05-07,52,35,29.11,No,Festival,None,Stable,Regular
1486,2024-08-02,2,400,61.0,No,Festival,None,Stable,Premium
1789,2024-10-23,86,228,91.66,Yes,None,Competitor Pricing,Stable,Budget
2612,2024-02-10,39,150,65.6,No,Holiday,Economic Indicator,Increasing,Regular
3371,2024-07-26,78,108,58.55,No,None,Weather,Increasing,Regular
9739,2024-10-15,46,485,7.31,No,Holiday,Weather,Stable,Regular
8530,2024-10-03,72,368,61.87,No,None,Competitor Pricing,Decreasing,Budget
8606,2024-02-05,10,452,82.4,Yes,Festival,None,Increasing,Regular
4619,2024-03-24,97,287,77.24,No,Holiday,Weather,Increasing,Budget
2527,2024-03-16,25,420,18.3,No,Festival,Competitor Pricing,Stable,Premium
7282,2024-12-14,37,45,52.07,No,None,Weather,Increasing,Regular
1096,2024-03-16,89,401,74.83,Yes,None,Economic Indicator,Increasing,Premium
1954,2024-01-02,27,481,28.69,Yes,Festival,Weather,Stable,Budget
5443,2024-04-25,71,334,46.6,No,Festival,None,Decreasing,Regular
6685,2024-03-15,83,206,30.89,Yes,None,Competitor Pricing,Increasing,Regular
4691,2024-05-02,49,3,83.15,Yes,Holiday,None,Stable,Regular
1879,2024-03-16,81,362,71.64,No,Holiday,Weather,Stable,Budget
9804,2024-12-29,66,124,24.03,No,None,Economic Indicator,Increasing,Premium
6256,2024-11-27,92,194,77.57,Yes,Holiday,Economic Indicator,Stable,Regular
3183,2024-10-11,53,484,41.6,Yes,Festival,Economic Indicator,Stable,Premium
2452,2024-11-11,20,75,94.23,No,Holiday,None,Stable,Budget
8463,2024-01-01,8,394,68.61,No,None,Weather,Decreasing,Regular
5546,2024-12-27,73,293,35.28,Yes,Holiday,Competitor Pricing,Decreasing,Regular
1533,2024-04-04,47,343,44.52,No,Festival,Economic Indicator,Increasing,Budget
6657,2024-08-04,38,268,75.6,No,Festival,Competitor Pricing,Increasing,Regular
1847,2024-12-05,81,45,98.99,Yes,Holiday,Weather,Increasing,Premium
2749,2024-05-21,25,434,73.29,No,Holiday,None,Stable,Regular
7683,2024-06-01,81,53,53.73,No,None,Weather,Stable,Premium
3003,2024-11-23,69,94,43.18,No,None,Weather,Stable,Budget
8921,2024-03-27,24,204,50.87,Yes,Holiday,Economic Indicator,Stable,Budget
9533,2024-05-08,51,299,73.76,Yes,Holiday,None,Increasing,Budget
3945,2024-10-27,63,195,24.94,Yes,Festival,None,Increasing,Budget
2131,2024-10-18,52,252,11.16,No,Festival,None,Stable,Budget
5860,2024-12-08,94,66,44.38,No,Festival,Weather,Decreasing,Premium
1701,2024-10-19,22,335,26.99,No,Festival,None,Decreasing,Regular
2259,2024-07-09,4,75,29.95,No,Festival,Competitor Pricing,Increasing,Premium
6089,2024-04-17,39,220,93.24,No,Holiday,None,Increasing,Premium
9718,2024-06-22,1,111,71.65,No,None,Weather,Decreasing,Budget
1719,2024-07-23,20,10,89.77,Yes,Festival,Competitor Pricing,Increasing,Regular
3187,2024-04-30,82,302,46.37,No,None,Competitor Pricing,Decreasing,Budget
6892,2024-11-02,52,51,9.22,No,None,Economic Indicator,Decreasing,Regular
